"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"RP11-398A8.4"	1.50049989513469	2.7684514843777	98.6681947663559	2.98558857790767e-23	3.68071803973365e-21
"ABHD6"	-1.16734033825901	11.1506912243778	98.5150699518698	3.22560608297827e-23	3.93685222427497e-21
"RNA5SP389"	-0.972060693550671	5.29198341215585	98.4503302269148	3.33280087545623e-23	4.02740937474686e-21
"MRPL50P2"	0.865262572615111	5.886353237469	98.1131537065034	3.95145323842392e-23	4.72818497793764e-21
"SMCO1"	1.0708895189228	9.07710681332243	97.8224151058199	4.57637736115359e-23	5.42278501872617e-21
"HNRNPA1P48"	1.40998268502351	4.91953431430828	97.5790469805517	5.17486357017065e-23	6.02703972966771e-21
"GLIPR1L2"	1.05178425289979	7.42472666002232	97.5751411391144	5.18508129139787e-23	6.02703972966771e-21
"RN7SL641P"	-1.02757161346308	6.70220858310776	97.5410336896874	5.27516858262399e-23	6.07390873121942e-21
"GK5"	0.934529549900078	6.72424698689548	97.4740450781212	5.45668650752515e-23	6.22419241349014e-21
"INO80E"	1.61205320088577	2.49365575616931	96.319501802824	9.7762304241056e-23	1.10480455857601e-20
"DPEP2"	-1.13958752901668	9.62157293315633	96.1780414064597	1.05003071269321e-22	1.17574539893767e-20
"ATP8B5P"	-1.31066298897083	14.1845186562243	95.2205432910905	1.70313671766279e-22	1.88970760355222e-20
"CTC-508F8.1"	0.808825396868983	7.11338184014354	94.9928901006364	1.9107028644569e-22	2.10091247393662e-20
"RP11-930O11.2"	-0.853673195664497	6.1376628541515	94.7533804173877	2.15644916678296e-22	2.3499519714809e-20
"AP005638.1"	1.55237184394917	1.62799310568187	94.5312653524883	2.41251642327518e-22	2.6057312341658e-20
"XXbac-BPG181M17.6"	0.886790771653537	5.29939226953993	93.9005771527525	3.31777361646455e-22	3.55205499903069e-20
"RP11-137N23.1"	-1.11289548993924	11.1668063215972	93.7778538437967	3.52999434802889e-22	3.74639834936458e-20
"RP11-661P17.1"	-1.04587345463974	9.68042664137685	93.6878815777168	3.69415783829611e-22	3.88682727727621e-20
"RP11-1C8.6"	-1.32875674156662	3.37905409026871	93.571823860959	3.91724520859242e-22	4.08632288639918e-20
"BLM"	1.15094467790895	7.25848248569116	93.5311688412581	3.99853896513906e-22	4.13577695504426e-20
"CTD-2265M8.2"	-1.29955999927688	5.08048961021758	93.1971649211399	4.73358716334585e-22	4.85491019568371e-20
"AC000003.2"	1.47400948472471	3.88252089490976	93.1104480021103	4.94559714358973e-22	5.03008442812605e-20
"AC090660.1"	0.890730619020387	6.90442788817461	93.0272237465454	5.1579944148479e-22	5.20275387051394e-20
"AC079834.1"	-0.983025954965536	10.2906412164751	92.601381547773	6.39627647055222e-22	6.39889789533523e-20
"KAT6B"	1.16396943123938	6.28772307672537	92.5758503821754	6.47932700383394e-22	6.429283421284e-20
"RP11-344N17.15"	1.83404964423044	6.55542293658193	92.1163333066185	8.17280375307983e-22	8.04427982309188e-20
"RN7SL730P"	-0.791575673149745	9.0101159543114	91.5828149222274	1.07018377825218e-21	1.04492744108543e-19
"BARD1"	-1.16305403901914	10.0105283556747	91.4257141846185	1.15861042709647e-21	1.12228890973908e-19
"SLC45A4"	-1.22352945646686	3.90818405386972	91.1994998406326	1.29893081826508e-21	1.2483031997579e-19
"PTGES3L"	-1.02770855906385	6.46498675374603	91.04987689344	1.40095875693713e-21	1.33583606472013e-19
"RP13-476E20.1"	0.950570952816731	5.69566086707577	90.8593234499446	1.54258442703306e-21	1.4594761962743e-19
"RP11-757G1.5"	-1.03345789823984	9.65068626650369	90.1291524179262	2.23109946020977e-21	2.09465914706617e-19
"AC012365.3"	-1.03636658091791	9.56505284784661	90.049956799527	2.32221758891934e-21	2.16356226509622e-19
"AC007965.1"	-1.15200266866896	5.8947310576129	89.9996228365272	2.38205421907707e-21	2.20249785938149e-19
"RNU6-512P"	-1.13305276517086	10.5846876082193	89.959654509066	2.43066482435237e-21	2.23054617903915e-19
"RPS4XP19"	1.01358776166084	5.30443921394317	89.9356571805449	2.46032648113642e-21	2.24091676882612e-19
"TIFA"	0.759886424247505	7.36123407035597	89.3844127823	3.25087864598867e-21	2.93903510179938e-19
"CTD-2630F21.1"	-1.01717352839044	9.59798368204288	89.2308901773528	3.51320202302585e-21	3.15284049198754e-19
"IGHV3-62"	-1.37551401573012	3.80001693719195	89.0895197125702	3.77344749823053e-21	3.36167348291267e-19
"RP11-438C19.2"	-0.820281616141696	6.63840224542554	88.8480321247611	4.26337482516038e-21	3.77061519862916e-19
"RP11-907D1.1"	0.761625529821943	6.20003061236697	88.4851094768308	5.12189858601688e-21	4.49732174405295e-19
"RP11-443J23.1"	1.19043940840431	6.3018283760587	88.3066722786532	5.60540579264184e-21	4.86552562627787e-19
"PTH2R"	-0.870893312607383	5.60888751214725	88.3011882625279	5.62096774522884e-21	4.86552562627787e-19
"VCY"	1.10992345219613	4.36433353884878	88.1341882519625	6.11613302864822e-21	5.2568594094825e-19
"RNU6-764P"	0.863043890776384	6.6478287304281	88.1188838151922	6.16363821183561e-21	5.26064366261913e-19
"KRBOX1-AS1"	-1.26188402184072	10.4560622104467	88.1014605773386	6.21816959570016e-21	5.27033054968892e-19
"AC007620.3"	-1.3097295336514	3.8774383573344	87.8721874515568	6.98236002911534e-21	5.84882956390974e-19
"RP11-98J23.1"	-0.866881548835874	5.70105699765644	87.8681713333517	6.99655154715954e-21	5.84882956390974e-19
"TIRAP"	0.778619565714001	6.42171775423285	87.7435840085324	7.45142427695209e-21	6.18670974831294e-19
"PTPLAD2"	0.998294446121521	5.25953290885515	87.6701539027599	7.73325463210014e-21	6.37732248545826e-19
"RPA4"	-1.05625881306255	8.62179677872729	87.5168632048515	8.35642954910835e-21	6.8449813856958e-19
"RP11-560A15.4"	-0.839765934014786	8.56992352759206	87.4168357921646	8.78990911686156e-21	7.15205605141969e-19
"IGHV1OR15-2"	-1.1638301195309	7.55123654382663	87.3977184651078	8.87528123651686e-21	7.1736958603767e-19
"AC083811.1"	1.12634636483377	8.00026289971345	86.8925304140993	1.14581309309342e-20	9.20042684289815e-19
"RP11-689C9.1"	0.874904923072303	6.76004144941544	86.5796819041148	1.34219031758515e-20	1.07068188406057e-18
"RP11-386B1.1"	-1.02883056875489	4.6580910311036	86.453583916756	1.43055808965135e-20	1.13376373273991e-18
"RP11-148B6.2"	1.06716968969317	7.46428746285202	86.3087077692448	1.53929254143971e-20	1.21206873988849e-18
"ANO5"	-0.83513204465551	9.14976472862401	85.8369303612056	1.95402614944524e-20	1.52877494576789e-18
"RP11-598F7.3"	-1.27083513393405	4.75740318300441	85.5044708739213	2.31178315644455e-20	1.79715372129973e-18
"RNU6-1227P"	1.24510872041069	2.92541523272139	85.1722264942984	2.73476311767601e-20	2.11251796526808e-18
"BMS1P11"	1.03564558029765	4.19932482733107	85.1448765267601	2.77285318225978e-20	2.12847000562771e-18
"TMEM42"	-1.02828826111476	5.73134653912769	84.851051222602	3.21709710883558e-20	2.45404188833364e-18
"SF3A1"	-1.27819976576898	3.69411543919025	84.6202979571348	3.61534498746973e-20	2.74070096720919e-18
"RP11-484D2.4"	-0.893773619573287	7.40130246910546	84.1163622645118	4.6649388536926e-20	3.51454189563692e-18
"ALX3"	-0.993147194194146	9.19466984036283	84.0405269404889	4.84735515919684e-20	3.62956869435567e-18
"AC018634.9"	-0.997082725082169	4.84537867660293	83.430976368084	6.59799688813473e-20	4.91027756217588e-18
"S100A13"	-1.24459869880785	2.08167594259656	83.2933915841561	7.07356793142181e-20	5.23229676381838e-18
"AC008268.1"	-0.929731611752163	8.9948002499501	83.2500944111602	7.23020704830977e-20	5.31594439907354e-18
"RP1-127L4.10"	-1.12770461225695	5.42143191626174	83.0848600172923	7.86054298726783e-20	5.74478605746131e-18
"MIR4266"	-1.12172992384038	10.3123447927696	83.0312515708863	8.07663468020173e-20	5.86757894475369e-18
"SNORD30"	1.17381994895531	6.14390196047507	82.6564266160253	9.76298722674657e-20	7.05072539067704e-18
"RP11-259G18.3"	-1.11140269726148	9.21713571283265	82.6065904595285	1.001226823008e-19	7.18821963224273e-18
"RP11-19H6.1"	0.988346714530849	7.19681326082852	82.4208497272447	1.09987461962942e-19	7.85027469741346e-18
"AC005355.2"	0.846323865785205	5.47597862636757	82.3497126308228	1.14018049355941e-19	8.09064123482126e-18
"XXbac-BPG27H4.8"	0.79833088380248	7.62263648051021	82.2912038151932	1.17443620374993e-19	8.28554558772709e-18
"RP11-367J11.2"	-0.717166463319705	7.22215692715094	81.9799263815665	1.37475875661348e-19	9.64306357728021e-18
"RP11-281J9.2"	-0.723250128604208	7.91411480771798	81.9624145895145	1.38699358838749e-19	9.67328956929672e-18
"PKHD1"	1.11530292035061	4.73070491540582	81.7096398050759	1.57622805380164e-19	1.09306042026415e-17
"CTD-2510F5.4"	-0.81176995999608	6.28126741581818	81.6364549107394	1.63569013095836e-19	1.12788689538682e-17
"RP11-498D10.6"	-1.24479288056086	3.04934680636099	81.3961227474554	1.84719985778347e-19	1.26657720585659e-17
"RNU5A-5P"	0.845133878716178	6.2478753416783	81.0769371215138	2.17098857846947e-19	1.48027461453742e-17
"SCAF4"	-0.981696991981104	10.1633972969447	80.924718010008	2.34482299023875e-19	1.58233989214092e-17
"OR6M2P"	-0.986494811045407	5.13960203407798	80.9232141302299	2.34660811534212e-19	1.58233989214092e-17
"CYP11B2"	-1.23270054368462	3.23437118844044	80.7700016097095	2.53578342226238e-19	1.70050750926991e-17
"RNU6-617P"	-1.09072052678258	10.343703281296	80.647612393292	2.69780298941165e-19	1.79927243091635e-17
"ANKRD31"	-0.85707782601398	4.83373008046595	79.9289181774001	3.88124298877369e-19	2.5744875368469e-17
"RN7SL26P"	0.87251372556201	6.79831324865481	79.7197509468087	4.31465905482541e-19	2.8465088521159e-17
"RP11-276H7.3"	-1.28115268617398	2.87903541080227	79.5234760438796	4.76529349791635e-19	3.12690360978866e-17
"IGHV3-42"	1.05288045639974	5.85581295474187	79.5005197894757	4.82098465441958e-19	3.14653035867332e-17
"RP13-726E6.3"	-0.881696919976832	6.96203969639028	79.4191867829276	5.02358762020389e-19	3.26132377152066e-17
"RP11-124K4.1"	0.966970675712987	5.61194578366025	79.305140455721	5.32210533167087e-19	3.43684103561074e-17
"PPIL3"	1.07653185591947	5.07621498868118	79.2924401429449	5.35642779308912e-19	3.44080006392909e-17
"PROCR"	-0.760914334436077	6.99361399994972	79.2487267918083	5.47626412800393e-19	3.49936144933445e-17
"RP11-422P22.1"	0.762977438875048	6.29124393423065	79.1399341431795	5.78628228542552e-19	3.67820704654263e-17
"RP11-593P24.4"	-0.718575315622329	7.43592813225931	79.0264508887066	6.12838967202706e-19	3.87549201798395e-17
"SNORD121A"	0.949274269526517	5.4977413872774	79.0001488076045	6.2105256113874e-19	3.90718892200944e-17
"RP11-1080G15.1"	-0.986122709056293	9.84797780895791	78.9495390333607	6.3716801355098e-19	3.98801825917421e-17
"RNU6-1156P"	0.796450117447702	6.14537865458829	78.8300976797156	6.76879314371732e-19	4.21495511831989e-17
