"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"OSER1-AS1"	-1.23950073816178	6.52460923461528	130.120350415141	3.85670612758124e-30	8.8813392994583e-28
"RP11-11M20.2"	-1.05907381093688	5.99766733081959	129.202003583044	6.12559330329103e-30	1.3844975234568e-27
"NAT2"	-1.1277254728483	7.36312896948195	127.897332189187	1.18201995232745e-29	2.6230097305739e-27
"HEMGN"	1.07549949597159	6.94361281109853	127.448430693403	1.4820215142654e-29	3.23001296100164e-27
"RP11-793I11.1"	-1.24015719854854	5.91817196504984	127.362905934235	1.54728222656704e-29	3.31308413600889e-27
"GATA6-AS1"	-1.08561942949003	6.8806654309427	126.906344364005	1.9475051896148e-29	4.09815531711184e-27
"FAM155A"	1.38731881734059	3.29798407901571	126.06721673511	2.97242927905718e-29	6.14889819506659e-27
"SHFM1"	-1.27799939501534	5.08319064552733	126.026275764683	3.03438863634701e-29	6.17245221776922e-27
"RNU6-1144P"	-1.18552888796027	5.97957804043756	125.830420940645	3.34913845618173e-29	6.70102210781935e-27
"RP11-398A8.1"	-1.08254449971245	5.54359035180725	125.452205120592	4.052334479151e-29	7.97721650290934e-27
"ART5"	-1.10673179526667	6.11340351671495	125.417217834264	4.12441461020715e-29	7.99023497104418e-27
"AC105761.1"	-1.38411215450027	3.94581937029551	124.962660146546	5.18614427141447e-29	9.89013919259587e-27
"RN7SL729P"	-1.40290476432312	3.6771015331289	123.629714496163	1.01527271567501e-28	1.90636976843284e-26
"VDAC1P4"	0.986515093306861	5.16732997996781	122.842163879441	1.50995221796046e-28	2.79226770003143e-26
"C15orf41"	-1.44385139006451	4.01713515447478	122.318175428027	1.96634410686138e-28	3.5819746006333e-26
"RP4-633I8.1"	-1.38747622363948	8.88148665985644	121.787843368438	2.56890668159242e-28	4.61080971306405e-26
"AC137934.1"	1.024565911314	5.85085918997144	121.10137223535	3.63096154873072e-28	6.42259213076209e-26
"POU3F1"	-1.10797902158405	6.4546219145649	119.935058402034	6.53659274722037e-28	1.13970163542607e-25
"SCD"	0.95469018558979	6.50007079859008	119.832626322417	6.88298517702732e-28	1.18319484627632e-25
"HIRA"	-1.20111092813176	6.34237294612546	119.634455233265	7.60611299944917e-28	1.28934179386496e-25
"NFIC"	1.89463883536465	1.68349281050461	119.178116500245	9.57352769270512e-28	1.60061514369131e-25
"AC090644.1"	-0.950032366522588	8.25096816512445	119.07251655222	1.00969945973602e-27	1.66532187919975e-25
"SLC34A3"	-1.58441442950728	3.14121925371962	118.836285243388	1.13740038267675e-27	1.85092955607596e-25
"RPL6P21"	1.59542310819142	3.28114145779452	118.48685527847	1.35650131849993e-27	2.17843402530154e-25
"CTB-55P19.1"	1.51260064056425	4.10998135177472	118.362687735494	1.44413184490409e-27	2.2890427489681e-25
"UBE2V1P8"	1.44605717455618	2.61005460396834	118.017206280115	1.71890399490604e-27	2.68964400741388e-25
"OR5M8"	-1.10746060799977	6.07707539741917	117.144908562029	2.66841464291136e-27	4.12253173629534e-25
