"identifier"	"translatedmRNA.apvEff"	"translatedmRNA.apvRvmPAdj"	"totalmRNA.apvEff"	"totalmRNA.apvRvmPAdj"	"translation.apvEff"	"translation.apvRvmPAdj"	"buffering.apvEff"	"buffering.apvRvmPAdj"	"singleRegMode"
"ABHD13"	"ABHD13"	-0.22268804195287	0.725764700720853	-0.243258167444136	0.712373562123451	-0.130414592280613	0.902889329983255	-0.150079416880642	0.863543137634726	"background"
"ABHD15"	"ABHD15"	0.598131426343917	0.00409134880559172	0.485660486366485	0.010678888021663	0.643611589413971	0.124244887937412	0.821499810887371	0.0845776188430908	"abundance"
"ABHD16A"	"ABHD16A"	-0.307947271411637	0.489280563610051	0.394363569194163	0.568086995310608	-0.350087177352467	0.644703122834938	0.476866366761835	0.634388343249016	"background"
"ABHD17A"	"ABHD17A"	0.0830528750999839	0.455365146437285	-0.0997735805369029	0.418648382412333	0.0926327271350189	0.723969896735629	-0.112572530701122	0.555705611673039	"background"
"ABHD17AP3"	"ABHD17AP3"	0.120478047987818	0.275263536597097	0.097271324780011	0.20924689249027	0.0063385940927061	0.982890412426906	0.0355446744516899	0.775668515152022	"background"
"ABHD17AP5"	"ABHD17AP5"	-0.115629330994179	0.422826066408339	-0.217753768607437	0.011561002431658	-1.44797188543033	0.0496357865981189	-0.232477436757208	0.123350749980074	"background"
"ABHD17AP6"	"ABHD17AP6"	0.524837827496234	0.006048866734175	0.409201453608589	0.00333008147402346	-0.0730977871115215	0.799654778282826	0.17883843663204	0.258394018533021	"abundance"
"ABHD17B"	"ABHD17B"	0.797673296149674	0.00403646170859914	0.571086116571183	0.00774514341245141	0.654816158034288	0.143053519993846	0.176971038520009	0.688272073725769	"abundance"
"ABHD6"	"ABHD6"	-0.376128904588844	0.0137177254341816	-0.640695359333284	0.00213508487047854	0.190319733952228	0.740234707256105	-0.435501034047567	0.0705110785170915	"abundance"
"ABHD8"	"ABHD8"	-0.483480727484594	0.00556621434233889	-0.576705295193992	0.00258344913237527	-0.185664119217798	0.481955597000822	-0.203598175976195	0.278287842308702	"abundance"
"ABI2"	"ABI2"	0.378046050255793	0.0104757981469646	0.30879288826142	0.00605952682643629	-0.0956595352250922	0.676636576625155	0.090695471868198	0.425015019315154	"abundance"
"ABI3BP"	"ABI3BP"	0.558502397796591	0.00446350446326789	0.341843051164761	0.00954285277802587	0.51709158677984	0.174587818463812	0.23523332259041	0.33874610147942	"abundance"
"ABR"	"ABR"	0.0422665405364784	0.656611573989178	0.0591273269606898	0.387951135779105	-0.0128457242422249	0.962293933925019	0.0394280456860545	0.745780213327381	"background"
"AC000003.1"	"AC000003.1"	0.483478888562217	0.00590667483940682	0.456686224293301	0.00250382450309475	0.491429211513787	0.267992715047292	0.459593046348476	0.0655600141804011	"abundance"
"AC000003.2"	"AC000003.2"	0.217775895025591	0.105822663855796	0.426282937099915	0.0040123912330759	0.261024341839077	0.598631606972092	0.431231693307088	0.0715259708408642	"abundance"
"AC000029.1"	"AC000029.1"	1.31792512444777	0.00483225106975985	1.52781627506203	0.00507179297491328	1.85666033999394	0.0997814812955349	2.41783547877128	0.0829675521645313	"abundance"
"AC000067.1"	"AC000067.1"	0.635293926182483	0.103263350774455	0.0947628703640777	0.702319828788795	0.634718580478671	0.320919986337271	0.0926586504095619	0.821274266000358	"background"
"AC000095.9"	"AC000095.9"	-0.369063399754209	0.107375024811418	-0.539825790808925	0.0451228564361739	0.0319833326256086	0.937311781060023	-0.227404145156154	0.316088403867556	"abundance"
"AC000099.1"	"AC000099.1"	-0.32853774812386	0.0409177921134974	-0.396199495725951	0.0438363777188693	-0.193838202050614	0.575195857782452	-0.172604067708567	0.528145766123676	"abundance"
"AC000110.1"	"AC000110.1"	-0.214348392716262	0.669244653582656	0.395348044323682	0.489994790798265	-0.5424033426113	0.183849684424536	0.63375238217709	0.0957428662388044	"background"
"AC000111.3"	"AC000111.3"	-0.733731242000117	0.372690252093708	-0.0126074386464634	0.968317378760034	-0.701738535372555	0.241128415820452	0.242102423064415	0.247262577575801	"background"
"AC000120.7"	"AC000120.7"	-0.46808655619834	0.0141130078622903	-0.578266489927719	0.00311587734638017	-0.875827382184165	0.262941943548632	-0.726715811762523	0.0574788389742863	"abundance"
"AC000124.1"	"AC000124.1"	0.226113962188635	0.0321009442546077	0.17092005548017	0.024465477407633	-0.0687856043578874	0.747136427358122	0.042062707064058	0.702666949660838	"abundance"
"AC000362.1"	"AC000362.1"	0.199801700986191	0.39125230648746	0.20845726049102	0.400594511124174	0.261381330277926	0.527377246038655	0.27969497784223	0.433478694780156	"background"
"AC002044.4"	"AC002044.4"	0.240153061052567	0.0733763601439018	0.322381878394438	0.0309751533173366	-0.0561674701933788	0.798688347957013	0.0648967964119262	0.557789080109076	"abundance"
"AC002070.1"	"AC002070.1"	-0.825220911408331	0.00675934983207118	-0.616704739541891	0.0318209426482484	-0.863845791785312	0.124707608415885	-0.737217738922265	0.16920064423694	"abundance"
"AC002128.5"	"AC002128.5"	-1.44840900240274	0.00446350446326789	-1.19035003848239	0.00968967137993009	-1.3115273942399	0.213877966472372	-0.900524033436687	0.414050824992494	"abundance"
"AC002306.1"	"AC002306.1"	0.390473007433826	0.221460283525059	0.320128085156444	0.201601509938856	0.512984609836798	0.415234291864812	0.412218028269633	0.325650069584263	"background"
"AC002310.7"	"AC002310.7"	-0.119451416785022	0.334637962437486	-0.0652216647911743	0.340622840864969	-0.0207902821902808	0.940162112683462	-0.0253603351264662	0.837784483407763	"background"
"AC002331.1"	"AC002331.1"	-0.143075320221212	0.261982948841173	-0.129748546711288	0.0617015251390343	-0.317134315378345	0.475801827592674	-0.145616253680628	0.266477359886809	"background"
"AC002368.4"	"AC002368.4"	0.451394258143032	0.00712016806817316	0.434047045718012	0.00252759565301483	-0.368117457957323	0.31521912153118	0.252955554100454	0.123881474962736	"abundance"
"AC002386.1"	"AC002386.1"	-0.345395031413301	0.0119700518876618	-0.375345453772303	0.00416625298131074	0.0640714614694948	0.797300175642801	-0.147456067911857	0.264923552840267	"abundance"
"AC002398.12"	"AC002398.12"	-0.605725277248924	0.0493877053295922	-0.827823064700297	0.00242822409985523	1.47948692899957	0.0970447483479562	-0.613429724439274	0.0465477453141685	"abundance"
"AC002454.1"	"AC002454.1"	-0.894084621609894	0.0109301933866256	-1.05442431383406	0.0132445881329879	-0.753364491314541	0.359616289007141	-0.83211570641244	0.171738328823809	"abundance"
"AC002456.2"	"AC002456.2"	0.208102917007759	0.0387383141604071	0.0658235417794604	0.291978833152036	0.247432632418469	0.308740509898299	0.203618237646726	0.173695768267652	"background"
"AC002467.7"	"AC002467.7"	-0.444858781670305	0.0211317217228932	-0.138685168882153	0.0920631508815389	-0.221746259739305	0.410419298727009	0.0251574920590132	0.847934468249921	"abundance"
"AC002472.13"	"AC002472.13"	-0.610408935450585	0.00382513630423191	-0.824730329372906	0.00181339697561343	-0.623284779782018	0.112149111630162	-0.879967121342068	0.0410990275263919	"abundance"
"AC002477.1"	"AC002477.1"	-0.172889833795818	0.121734247446833	-0.00103899330632107	0.984105360115574	-0.171469592014303	0.487102160836776	0.00693931340942822	0.953628360709268	"background"
"AC002511.3"	"AC002511.3"	-0.394658550862316	0.011665092783179	-0.515823999202108	0.00539758768838577	-0.680373905115356	0.118073396343313	-0.857817058784466	0.0431495275692036	"abundance"
"AC002523.1"	"AC002523.1"	0.666767118927868	0.00983022659970356	1.29393755958924	0.0307379949370114	0.577250949841185	0.225438516945229	0.759473255131295	0.37184168731366	"abundance"
"AC002539.1"	"AC002539.1"	-0.736975023804006	0.0890877405154262	-0.767236961323657	0.00181245533250836	-0.0237410473959729	0.988239781401537	-0.753115511606681	0.0439007019350482	"abundance"
"AC002553.4"	"AC002553.4"	0.21559781927118	0.029444226140842	0.101960034438846	0.099241643544056	0.183439699736887	0.418053727272125	0.0361848775061864	0.767364097174274	"abundance"
"AC002985.3"	"AC002985.3"	0.240409131182552	0.0778116006818198	0.259068256900293	0.00813484618225374	1.22147897284465	0.0496357865981189	0.320358999127939	0.0793872218390263	"abundance"
"AC002992.1"	"AC002992.1"	0.264074285264024	0.0881108966898943	0.194446434655426	0.0686005864037887	0.24978647655138	0.436071929319402	0.186306700566172	0.288911786164271	"abundance"
"AC002994.1"	"AC002994.1"	-1.46621900186479	0.00460710399719736	-1.56874324113656	0.00172774828768361	1.86654305348053	0.225802079686881	-1.24314625233735	0.0486226645194773	"abundance"
"AC003001.1"	"AC003001.1"	-0.0804808973543256	0.419471252335181	-0.172122188358554	0.0268221155139056	0.282042539698059	0.331919705777372	-0.150452955688983	0.237946600749581	"background"
"AC003002.4"	"AC003002.4"	0.577474227774978	0.0181903798132102	0.618032465380852	0.0145175028583775	0.353582627518752	0.54773860047458	0.385471806189131	0.348481105908901	"abundance"
"AC003005.2"	"AC003005.2"	0.211747215525475	0.0926083937631547	0.219130153363237	0.0374610343254656	0.0939713558663611	0.778835998014754	0.158693236394105	0.305365044657749	"abundance"
"AC003005.4"	"AC003005.4"	-0.0941964062231491	0.709048639958058	-0.48310246374903	0.0220525288635446	0.13386923653333	0.826147394921939	-0.469624866595816	0.113849384262241	"buffering"
"AC003009.2"	"AC003009.2"	0.532981232841031	0.00595099582303479	0.381861152408372	0.0093139023335191	0.457428869705505	0.231101717385268	0.256096635504321	0.220901719619406	"abundance"
"AC003035.1"	"AC003035.1"	-0.357336801914781	0.0453904144541772	-0.463138475061227	0.0169487187583936	-0.15433909393841	0.718324560376376	-0.318298359685515	0.203870708567604	"abundance"
"AC003045.1"	"AC003045.1"	0.798793924773217	0.0182757076253712	0.763954044029372	0.00279391630183323	0.908323928247804	0.272902744391107	0.784378386336878	0.0557901722272439	"abundance"
"AC003051.1"	"AC003051.1"	-0.153494653730745	0.27168667675831	-0.297053887075211	0.0227305503049127	-0.109434203162611	0.803793157204183	-0.287993271237236	0.154122274297528	"background"
"AC003079.1"	"AC003079.1"	-0.679848921498109	0.0199923371517865	-0.617270066396433	0.0144755116246824	-1.14907561004905	0.10673984554352	-0.97683161284202	0.0509641520817443	"abundance"
"AC003090.1"	"AC003090.1"	0.75665427912694	0.0121820004964963	0.471805396525698	0.0173919371562867	0.994768849584675	0.186710720247718	0.676321705951143	0.10567964171354	"abundance"
"AC003092.2"	"AC003092.2"	0.234342049921362	0.0527711293932612	0.297071058707695	0.0296511956474584	0.164314194369234	0.606093069145613	0.212392205888957	0.33483770880191	"abundance"
"AC003102.3"	"AC003102.3"	0.285771125958554	0.0163030641833428	0.219937319019294	0.0131587088588553	0.227698450674122	0.40597346988218	0.181215855909417	0.2036195843556	"abundance"
"AC003104.1"	"AC003104.1"	-0.673913316271106	0.00778070454099708	-0.48884557362932	0.00300226372075407	-0.52651141488549	0.48458399864325	-0.454844051653176	0.09790672625417	"abundance"
"AC003658.1"	"AC003658.1"	-0.384305756853837	0.0127121844636054	-0.175583731458258	0.329302636655302	-0.423367172513974	0.169442580019183	-0.808609980032606	0.0814327693964018	"background"
"AC003664.1"	"AC003664.1"	0.00906103781531442	0.904692655562288	-0.282753565010144	0.00611292158680447	0.00288375076891434	0.992350334380576	-0.282675593071439	0.0974214524273649	"buffering"
"AC003665.1"	"AC003665.1"	-0.398042694057391	0.401374613321713	-0.690907492406579	0.0654788146605803	-0.854125575983143	0.397900504705435	-0.801590912673516	0.14620826495575	"buffering"
"AC003666.1"	"AC003666.1"	-0.25653858873129	0.0555114964678642	-0.406641647302833	0.00336768093796943	-0.0639531716371318	0.919968788116225	-0.387301479507398	0.0724491411038557	"abundance"
"AC003681.1"	"AC003681.1"	-0.249957291914593	0.0960536487419581	-0.21200679426806	0.0443786078914093	0.014489977929018	0.964447677180965	-0.10446444002917	0.439678942597147	"abundance"
"AC003682.16"	"AC003682.16"	-0.501815229991527	0.359179905348268	0.00652771986209566	0.987189229493298	-0.500533393855601	0.572452701705595	-0.0448393746032902	0.943975682140208	"background"
"AC003682.17"	"AC003682.17"	0.627327045770066	0.00382988277185148	0.591677951162959	0.00237523029705335	0.437336976285465	0.221795937237554	0.188328383140685	0.371173818622004	"abundance"
"AC003973.1"	"AC003973.1"	0.111726763471807	0.33542459482156	0.308139115821314	0.0300283060755626	-0.0365475187115055	0.907140278732607	0.258739383708957	0.179629139009938	"background"
"AC003973.4"	"AC003973.4"	-0.241048938277289	0.0305383030765128	-0.242579384875427	0.0100632259990072	-0.429199445373015	0.30406849156982	-0.303247121124436	0.0980673787566276	"abundance"
"AC003985.1"	"AC003985.1"	-1.02990074701838	0.00357629289679827	-1.03552865605474	0.00181245533250836	-0.563313425728318	0.333989445193509	-0.124641744342177	0.82406094587371	"abundance"
"AC003986.6"	"AC003986.6"	-0.640652054438689	0.0037097612530305	-0.551500230744691	0.00183928322510369	-0.506479934503396	0.145847763914237	-0.374899424235356	0.0736158964964212	"abundance"
